Name,Website URL,main category
1E,www.1e.com,HR
4CAD Group,,Industrial
4PS Construction Solutions,www.4psgroup.com,Construction
6point6,www.6point6.co.uk,Cybersecurity
9altitudes,https://www.9altitudes.com/,Industrial
10x Future Technologies,www.10xbanking.com,Banking
24SevenOffice,www.24sevenofficeus.com,ERP
A+W Software,www.a-w.com,ERP
A2 Mac1,www.a2mac1.com,Industrial
Aareon,www.aareon.com,ERP
AB Dynamics,www.abdynamics.com,Industrial
AB Tasty,https://www.abtasty.com,CXRM
ABAX,www.abax.no,Supply Chain
Accenture Cybersecurity Consulting (Accenture),www.accenture.com,Cybersecurity
AccuLynx,acculynx.com,Construction
Accurx,https://www.accurx.com,
Ach@t Solutions,www.achatsolutions.com,Supply Chain
Achilles,www.achilles.com,GRC
Acquia,https://www.acquia.com/,CXRM
Acrolinx,www.acrolinx.com,
Acronis,www.acronis.com,Cybersecurity
Act-On ,www.act-on.com,HR
Acteos,www.acteos.com,Supply Chain
Actico,www.actico.com,Banking
Adarga,www.adarga.ai,
Adarma Security,www.adarma.com,Cybersecurity
additiv,https://www.additiv.com/,Banking
AddSecure,www.addsecure.com,Supply Chain
Adler & Allan,www.adlerandallan.co.uk,GRC
AdNovum Informatik,www.adnovum.com,Cybersecurity
Advanced Computer Software Group,www.oneadvanced.com,ERP
AEB,www.aeb.com/uk-en,Supply Chain
Agicap,www.agicap.fr,Supply Chain
Aixigo,www.aixigo.com,Banking
Alcumus,www.alcumus.com,GRC
Alert,https://www.alert-online.com/,Healthcare
Algolia,www.algolia.com,CXRM
Alloy,www.alloy.com,Banking
Alpega,www.alpegagroup.com,Supply Chain
Altium,www.altium.com,Industrial
Amberscript,https://www.amberscript.com/,
Amboss,www.amboss.com,EdTech
AMCS (Advanced Manufacturing Control Systems),www.amcsgroup.com,ERP
AML Analytics,www.aml-analytics.com,GRC
Anecdotes.ai,www.anecdotes.ai/,
Anodot,www.anodot.com,
Antemeta,www.antemeta.fr,Cybersecurity
Anydesk,www.anydesk.com,
Appway,www.appway.com,Banking
Arago Consulting,www.aragoconsulting.eu,HR
Arche MC2,https://www.arche-mc2.fr/,Healthcare
Aryza,www.aryza.com,Banking
Asolvi,www.asolvi.com,CXRM
Assessio,https://assessio.com/en/,HR
Atos Digital Security (Atos),www.atos.net,Cybersecurity
AU10TIX,www.au10tix.com,Banking
Auditboard,https://www.auditboard.com/,GRC
AutoForm Engineering,www.autoform.com,Industrial
Avaloq,www.avaloq.com,Banking
Aveniq,http://aveniq.ch,Industrial
Avetta,https://www.avetta.com/fr,GRC
Avinty,www.avinty.com,Healthcare
AVSimulation,www.avsimulation.com,Industrial
axefinance,http://www.axefinance.com,Banking
Axway,www.axway.com,
Ayasdi,www.ayasdi.com,Banking
Azqore,www.azqore.com,Banking
Babel Sistemas De Informacion,www.babelgroup.com,Cybersecurity
Backbase,www.backbase.com,Banking
BASS Software,www.bassnet.no,Supply Chain
Basware,www.basware.com,Supply Chain
Beamery,www.beamery.com,HR
bee2link,www.bee2link.fr,
Benify,www.benify.se,HR
Berger-Levrault,www.berger-levrault.com,ERP
Beta CAE Systems,www.beta-cae.com,Industrial
Beta80 Group,,Industrial
BigHand,www.bighand.com,HR
BioCatch,www.biocatch.com,Banking
Bison,www.bisonapp.com,ERP
Bloomreach,https://www.bloomreach.com/,CXRM
Blue Dot,www.bluedotcorp.com,GRC
Blue Optima,https://www.blueoptima.com/,DevOps
BlueKanGo,https://www.bluekango.com,GRC
Board International,www.board.com,Productivity
BQE Software,www.bqe.com,Construction
Brightpearl,www.brightpearl.com,Supply Chain
BRYTER,www.bryter.io,
Builder.ai,www.builder.ai,
Buildertrend Solutions,www.buildertrend.com,Construction
ByBox,www.bybox.com,CXRM
Bynder,www.bynder.com,CXRM
Cadac Group,https://www.cadac.com/,Industrial
Cadenas,www.cadenas.de,Industrial
Cadmatic,www.cadmatic.com,Industrial
Callsign,www.callsign.com,
Cambio Healthcare Systems,www.cambio.se,Healthcare
Camms,https://cammsgroup.com/,GRC
Campaign Monitor,https://www.campaignmonitor.com/,CXRM
CatalystOne Solutions,https://www.catalystone.com/,HR
Causeway Technologies,www.causeway.com,Construction
CBA,https://www.cbainfo.fr/,Healthcare
Cegedim,www.cegedim.com,Healthcare
Cegid,www.cegid.com,Supply Chain
Cenit,http://www.cenit.com,Industrial
Centiro,www.centiro.se,Supply Chain
Cezanne HR,https://cezannehr.com/,HR
CHAS,https://www.chas.co.uk/,GRC
Chevin Fleet Solutions,www.chevinfleet.com,Supply Chain
ChipSoft,www.chipsoft.nl,Healthcare
CID (Asset & Wealth Management),,Banking
CIPHR,www.ciphr.com,HR
Citation,www.citation.co.uk,GRC
CleverConnect,www.cleverconnect.com,HR
cleversoft,www.clever-soft.com,Banking
CLEVR,https://www.clevr.com/,Industrial
CMiC,www.cmic.ca,Construction
Codat,www.codat.io,Banking
Codix,https://www.codix.eu,Banking
Cognigy,www.cognigy.com,
Cognite,,Industrial
Coins Technology,,Construction
Collenda,www.collenda.com,Banking
Commercetools,https://www.commercetools.com/,CXRM
Commusoft,http://www.commusoft.co.uk,Construction
Compleat,http://www.compleatsoftware.com,Supply Chain
Compleet,www.compleet.com,HR
Compliance & Risks,www.complianceandrisks.com,GRC
ComplyAdvantage,www.complyadvantage.com,Banking
Compusoft Group,www.compusoftgroup.com,ERP
Computer Systems Integration (CSI),www.csiltd.co.uk,Cybersecurity
Comsol,https://www.comsol.com/,Industrial
Condeco,http://www.condecosoftware.com,HR
Configit,https://configit.com,Industrial
Conga,http://www.conga.com,Productivity
Consafe Logistics,www.consafelogistics.com,Supply Chain
Contact Software,www.contact-software.com,Industrial
Contentful,www.contentful.com,CXRM
Contentserv,www.contentserv.com,CXRM
Contentsquare,https://contentsquare.com/,CXRM
ContractPodAi,www.contractpodai.com,Supply Chain
Control Risks Group,https://www.controlrisks.com/,GRC
Cool Company,www.coolcompany.com,HR
Copa-data,https://www.copadata.com/en/,Industrial
Corilus,www.corilus.be,Healthcare
Cority,https://www.cority.com/,GRC
CR2,www.cr2.com,Banking
Crealogix,www.crealogix.com,Banking
Crownpeak ,http://www.crownpeak.com,CXRM
CSB-System,csb.com,ERP
Cubic Interactive,https://www.rapport3.com/,Construction
Cutover,www.cutover.com,
Cybertonica,https://www.cybertonica.com/,Banking
CycloMedia Technology,www.cyclomedia.com,Location
Cyncly (Previously 20-20 Technologies and Compusoft),https://www.cyncly.com/,Construction
CYPE,www.cype.com,Construction
Cyrebro,www.cyrebro.io,
Dakosy,https://www.dakosy.de/,Supply Chain
Dalet,www.dalet.com,CXRM
Dalux,www.dalux.com,Construction
Datadome,https://datadome.co,Cybersecurity
Dedalus,www.dedalus.com,Healthcare
Detectify,https://www.detectify.com,Cybersecurity
DGS (Italy),www.dgsspa.com,Cybersecurity
Didomi,www.didomi.io,
Dietrich's Technology,www.dietrichs.com,Construction
Digpro,www.digpro.com,Location
DiliTrust,www.dilitrust.com,GRC
DIPS,www.dips.com,Healthcare
Divalto,www.divalto.com,ERP
DL Software,www.dlsoftware.fr,ERP
Dlubal Software,dlubal.com,Construction
DSIA,www.logistar-dsia.com,Supply Chain
dSpace,,Industrial
e92plus,e92plus.com,Cybersecurity
EasyVista,www.easyvista.com,
ebankIT,www.ebankit.com,Banking
EclecticIQ,www.eclecticiq.com,
EcoOnline,www.ecoonline.com,GRC
EDICOM,https://edicomgroup.com/,Supply Chain
eFront (France),www.efront.com,Banking
Egnyte,https://www.avetta.com/fr,GRC
Ehrhardt Partner Group,www.ehrhardt-partner.com,Supply Chain
Emex,https://emex.com/,GRC
EMIS Group,www.emisgroupplc.com,Healthcare
Encompass,www.encompasscorporation.com,Banking
Enhesa,www.enhesa.com,GRC
ePassi,www.epassi.fi,HR
EQS Group,www.eqs.com,GRC
Eque2,www.eque2.co.uk,Construction
ERI Bancaire (OLYMPIC Banking System),www.olympicbankingsystem.com,Banking
Ermetic,www.ermetic.com,
ESG Elektroniksystem- und Logistik-GmbH,https://esg.de/,Industrial
ESI Group,www.esi-group.com,Industrial
Esker,www.esker.fr,Supply Chain
Esteco,www.esteco.com,Industrial
eSUB Construction Software,www.esub.com,Construction
Ethixbase,https://ethixbase360.com/,GRC
Eurécia,www.eurecia.com,HR
Everstream Analytics,www.everstream.ai,Supply Chain
Everwin,www.everwin.fr,ERP
Evolucare Technologies,www.evolucare.com,Healthcare
Exact,www.exact.com,ERP
Exalog,www.exalog.com,Supply Chain
Exiger,https://www.exiger.com/,GRC
Expersoft Systems,www.expersoft.com,Banking
Exponential-e,www.exponential-e.com,Cybersecurity
Extenda Retail,https://www.extendaretail.com/,Supply Chain
Exterro,https://www.exterro.com/,GRC
F24,www.f24.com,GRC
Factorial,https://factorialhr.com,Productivity
FCG,www.fcg.global,Banking
Featurespace,www.featurespace.com,Banking
Feedzai,www.feedzai.com,Banking
Fenergo,www.fenergo.com,Banking
FERNAO Networks / magellan netzwerke,www.magellan-net.de,Cybersecurity
Fichorga,www.fichorga.fr,GRC
FinalCAD,www.finalcad.com,Construction
Finastra,www.finastra.com,Banking
Finbourne,www.finbourne.com,Banking
Finnova,www.finnova.ch,Banking
FintechOS,www.fintechos.com,Banking
FleetGo,www.fleetgo.com,Supply Chain
FNZ,www.fnz.com,Banking
Foleon,www.foleon.com,
Formstack,http://www.Formstack.com,Productivity
Forterro,www.forterro.com,ERP
Foundation Software,www.foundationsoft.com,Construction
Fourth,www.fourth.com,Supply Chain
Fourthline,thefourthline.co.uk,Banking
Fracttal,www.fracttal.com,
freiheit.com,http://freiheit.com/en/,Industrial
Fullstep,https://www.fullstep.com/,GRC
FundApps,www.fundapps.co,GRC
Fusion Risk Management,https://www.fusionrm.com/,GRC
GAC Technology,www.gac-technology.com,Supply Chain
Gatekeeper,www.gkaccess.com,Supply Chain
Gavdi,http://www.gavdi.com,HR
Generix Group,www.generixgroup.com,Supply Chain
Geofit Group,https://geofit-group.fr/,Location
GetAccept,https://www.getaccept.com/,CXRM
GetResponse,https://www.getresponse.com/fr,CXRM
GitGuardian,https://www.gitguardian.com,
GK Software,www.gk-software.com,ERP
Glider Tech,https://glidertech.com/,Construction
GoCanvas,www.gocanvas.com,Construction
GPI Group,www.gpi.it,Healthcare
Graitec Group,www.graitec.com,Construction
Graitec Group,www.graitec.com,Construction
Gravitee,www.gravitee.io,
GRESB,https://www.gresb.com/,GRC
Groupe CEGI,https://www.cegi.fr/,Healthcare
Groupe PSIH,www.groupepsih.com,Healthcare
Grupo ETRA,http://www.grupoetra.com,Industrial
Grupo Primavera / Ekon,www.ekon.es,ERP
GTD,,Industrial
Guardsquare,www.guardsquare.com,
Guestline,www.guestline.com,
Hack The Box,www.hackthebox.eu,
Happeo,www.happeo.com,HR
Hardis Group,www.hardis-group.com,Supply Chain
Harvest Groupe,www.harvest.fr,Banking
Hawk.AI,,Banking
Heimdal Security,www.heimdalsecurity.com,Cybersecurity
Helbling Technik,https://www.helbling.ch,Industrial
Heywood,www.heywood.co.uk,HR
Horoquartz,https://www.horoquartz.fr/,HR
HPD Lendscape,,Banking
HRworks,www.hrworks.de,HR
HS Direct,https://www.hsdirect.co.uk/,Construction
HSI,https://hsi.com/,GRC
Hyphen Solutions,www.hyphensolutions.com,Construction
I-care Group,www.icareweb.com,Industrial
iBinder,www2.ibinder.com,Construction
iC Consult,www.ic-consult.com,Cybersecurity
Icron Technologies,https://www.icrontech.com/,Supply Chain
ICT Group,https://www.ict.eu/,Industrial
Ictivity,www.ictivity.nl,Cybersecurity
Ideagen,www.ideagen.com,GRC
IDNow,www.idnow.io,Banking
IES,www.iesve.com,Construction
IG&H,http://www.igh.com,Banking
IMTF,http://www.imtf.com,Banking
Indeff,http://www.indeff.com,Industrial
Industrial and Financial Systems (IFS),www.ifs.com,ERP
Infobric,https://infobricgroup.com,Construction
Infoguard,www.infoguard.ch,Cybersecurity
Infoniqa,www.infoniqa.com,HR
Inform GmbH,http://www.inform-software.com,Supply Chain
Inneo Solutions,https://www.inneo.de/de/,Industrial
insightsoftware,https://insightsoftware.com,Productivity
Instem,www.instem.com,Healthcare
Intact Software,www.intactsoftware.com,ERP
Integrity360,www.integrity360.com,Cybersecurity
Intelliflo,www.intelliflo.com,Productivity
Intigriti,www.intigriti.com,
IPG automotive,www.ipg-automotive.com,Industrial
Ipoint,www.ipoint.ie,Supply Chain
IRIS Software Group,www.iris.co.uk,ERP
IriusRisk,www.iriusrisk.com,
Isagri,www.isagri.fr,ERP
Isah Business Software,www.isah.com,ERP
Itineris,www.itineris.net,ERP
ITSS Global,https://www.itss-global.com,Banking
Ivalua ,www.ivalua.com,Supply Chain
Jedox,www.jedox.com,Productivity
JobLogic,www.joblogic.com,CXRM
JobNimbus,www.jobnimbus.com,Construction
JotForm,https://www.jotform.com/,Productivity
Jumio,www.jumio.com,Banking
K2View,www.k2view.com,
Kabal,https://kabal.com/,GRC
Kaliti,https://www.kaliti.fr/,Construction
Kallidus,www.kallidus.com,HR
Kameleoon ,http://www.kameleoon.com,CXRM
Keepit Group,www.keepit.com,
Kelio (Bodet Software),www.kelio.com,HR
Kentico ,http://www.kentico.com,CXRM
Kerridge Commercial Systems,www.kerridgecs.com,ERP
King Software,www.kingsoftware.nl,ERP
Knime,www.knime.com,
Kofax,https://www.kofax.com,Productivity
Kognity,www.kognity.com,EdTech
Kontomatik (Kontomierz),www.kontomierz.pl,Banking
Kovai,www.kovai.co,
KPA,https://www.kpaehs.com/,GRC
Kyriba,www.kyriba.com,Supply Chain
Landbell Group,www.landbell-group.com,GRC
Law Business Research,www.lbresearch.com,GRC
Leapwork,www.leapwork.com,
Lectra,www.lectra.com,Industrial
LetsBuild,www.letsbuild.com,Construction
LGM Group,,Industrial
Liferay,http://www.liferay.com,CXRM
Linedata,http://www.linedata.com,Banking
Lisam Systems,www.lisam.com,GRC
Logex Analytics,https://logex.com/,Healthcare
Logically,https://www.logically.ai,
Logpoint,http://www.logpoint.com,
LPA (Lucht Probst Associates),www.l-p-a.com,Banking
LucaNet,www.lucanet.com,Productivity
Lumion,www.lumion.com,Construction
Lyngsoe systems,www.lyngsoesystems.com,Supply Chain
M-Files,https://www.m-files.com,Productivity
Macrobond,www.macrobond.com,Banking
Magnolia,www.magnolia-cms.com,CXRM
MailChimp,https://mailchimp.com/fr/?currency=EUR,CXRM
Maincare Solutions,www.maincare.com,Healthcare
Mainsys,http://www.mainsysgroup.com,Banking
Mait Group,,Industrial
Mak-System,www.mak-system.com,Healthcare
Mambu,www.mambu.com,Banking
Manta (Business/Productivity Software),www.getmanta.com,
MANTL,www.mantl.com,Banking
Marketplanet,www.marketplanet.pl,Supply Chain
Matrix42,www.matrix42.com,HR
Maxxton Holding,www.maxxton.com,ERP
Medatixx,www.medatixx.de,Healthcare
MediFox,www.medifoxdan.de,Healthcare
Medius,medius.com,Supply Chain
Meniga,www.meniga.com,Banking
Mensch und Maschine,www.mum.de,Industrial
Mercell,www.mercell.com,Supply Chain
Mercer everBe,,HR
Metacompliance,www.metacompliance.com,GRC
Metsys (European Digital Group),www.metsys.fr,Cybersecurity
Mews,www.mews.com,
MIC Customs Solutions,www.mic-cust.com,Supply Chain
Midland (MHR),https://mhrglobal.com/uk/en,HR
Miebach Consulting Group,https://www.miebach.com/,Supply Chain
Mimacom,https://www.mimacom.com/,Industrial
Mirakl,www.mirakl.com,Supply Chain
Mnemonic,www.mnemonic.no,Cybersecurity
Mobilexpense,www.mobilexpense.com,Supply Chain
Modularbank (Tuum),www.tuumplatform.com,Banking
ModuleWorks,www.moduleworks.com,Industrial
Monitor ERP,www.monitorerp.com,ERP
Mooncard,www.mooncard.co,Construction
MPDV,www.mpdv.com,Industrial
MTI,www.mti.com,Cybersecurity
Murex,https://www.murex.com,Banking
Myneva Heimbas,https://www.myneva.eu/de-de/,Healthcare
MySolution,www.mysolution.com,HR
Nalanda,www.nalandaglobal.com,Construction
Napier,www.napier.ai,GRC
Nedap,https://nedap-healthcare.com/,Healthcare
NEO4J,https://neo4j.com/,Banking
NeoXam,www.neoxam.com,Banking
Nétive,https://www.netive.nl/,HR
NetReveal (BAE Systems),,Banking
New Access,www.newaccess.ch,Banking
Newforma,www.newforma.com,Construction
Nexthink,www.nexthink.com,Cybersecurity
Nexus (Enterprise Systems (Healthcare)),www.nexus-ag.de,Healthcare
Nexuzhealth,www.nexuzhealth.com,Healthcare
Nibelis,www.nibelis.com,HR
Nice Actimize,http://www.niceactimize.com,Banking
Nintex,https://www.nintex.com,Productivity
Nixu,www.nixu.com,Cybersecurity
Node4,www.node4.co.uk,Cybersecurity
Nomadia,https://www.nomadia-group.com/,CXRM
Nomentia,https://nomentia.com,Supply Chain
Nomios,nomios.nl,Cybersecurity
Nord Security,nordsecurity.com,Cybersecurity
Notolytix,,Banking
Noventi Group,www.noventi.de,Healthcare
nShift,nshift.com,Supply Chain
NVISO Security,www.nviso.be,Cybersecurity
Objectway,www.objectway.com,Banking
Octime,www.octime.com,HR
Odaseva,www.odaseva.com,
OGD ict-diensten,www.ogd.nl,
Ohpen,www.ohpen.com,Banking
OM Partners,omp.com,Supply Chain
Omada Software,www.omadaidentity.com,Cybersecurity
Omnio,www.omnio.global,Banking
Omnisyst,https://www.omnisyst.it/,GRC
Once for All (Fortius Network),https://onceforall.com/,GRC
One-click co,www.oneclicklca.com,Construction
OneStream,https://onestreamsoftware.com/,Productivity
Onfido,www.onfido.com,Banking
Onventis,www.onventis.de,GRC
Open GI,www.opengi.co.uk,Banking
Open Systems,www.open-systems.com,Cybersecurity
Opus 2,www.opus2.com,GRC
OpusCapita,www.opuscapita.com,Supply Chain
Orange Cyberdéfense,https://orangecyberdefense.com,Cybersecurity
Orderwise,orderwise.co.uk,ERP
Origami Risk,https://www.origamirisk.com/,GRC
Ortec,ortec-group.com,Supply Chain
Ortec Finance,https://www.ortecfinance.com/,Banking
Osapiens,https://www.osapiens.com/,Supply Chain
Outpost24,www.outpost24.com,Cybersecurity
OverIT,www.overit.it,CXRM
Oxand,www.oxand.com,Construction
Pagero,www.pagero.com,Supply Chain
Palette Software,www.palettesoftware.se,Supply Chain
Panaseer,www.panaseer.com,
PatientSky,www.patientsky.com,Healthcare
PDFtron,https://www.pdftron.com/,Productivity
PDSVISION Group,www.pdsvision.com,Industrial
Peach (UK),www.peach.me,
Peninsula,https://www.peninsulagrouplimited.com/,GRC
Percall Group,http://www.percallgroup.com,Industrial
Pharmagest Interactive,www.equasens.com,Healthcare
PharmaLex,www.pharmalex.com,GRC
Pharmatechnik,www.pharmatechnik.de,Healthcare
Pigment,www.gopigment.com,Productivity
PinkRoccade,http://www.pinkroccade-healthcare.nl,Healthcare
Pixid,www.pixid.fr,HR
Planful,https://planful.com/about-us/,Productivity
Planisware,www.planisware.com,Industrial
Planon,http://planonsoftware.com,Construction
Pleo,www.pleo.io,Supply Chain
Portswigger,portswigger.net,
Praxedo,www.praxedo.com,CXRM
Preligens,https://www.preligens.com/,Location
Prima Solutions,www.prima-solutions.com,Banking
Priority Software,www.priority-software.com,ERP
Proactis,www.proactis.com,Supply Chain
ProAlpha,www.proalpha.com,ERP
Product Life Group,,GRC
Profit Software,www.profitsoftware.com,Banking
Propharma,https://www.propharmagroup.com/,GRC
Prophix,https://www.prophix.com/,Productivity
PSI Software,www.psisoftware.com,Industrial
PTV Group,http://www.ptvgroup.com/,Supply Chain
Quadient,www.neopost-group.com,Supply Chain
Qualitest Group,www.qualitestgroup.com,Cybersecurity
Quantexa,www.quantexa.com,Banking
Quantilope,www.quantilope.com,Tech-enabled services
Questel,www.questel.com,GRC
Queue-it,www.queue-it.com,
Quickbase,http://quickbase.com,Productivity
Raisin,https://www.raisin.com/,Banking
Rangeforce,https://www.rangeforce.com/,
Red Points,www.redpoints.com,GRC
Red Sift,https://redsift.com,
Red-on-line,www.red-on-line.com,GRC
RedTeam,www.redteam.com,Construction
Regnology,www.regnology.net,Banking
Remira,www.remira.de,Supply Chain
RepRisk,www.reprisk.com,GRC
Revizto,www.revizto.com,Construction
Rexx-Systems,https://www.rexx-systems.com,HR
Rimes Technologies,www.rimes.com,Banking
RioMed,www.riomed.com,Healthcare
Ripjar,www.ripjar.com,Banking
Ripjar,www.ripjar.com,Banking
Riskonnect,https://riskonnect.com/fr/,GRC
Roboyo,www.roboyo.de,Industrial
Roofr,www.roofr.com,Construction
Rydoo,www.rydoo.com,Supply Chain
S3K,www.s3k.it,Cybersecurity
SAS,,Banking
Scanmarket,www.scanmarket.com,Supply Chain
Scope Group,https://scopegroup.com/,GRC
Scoro,www.scoro.com,
Scoutbee,www.scoutbee.com,Supply Chain
Scrive,www.scrive.com,GRC
SDB Groep,www.sdbgroep.nl,Healthcare
Sedex,https://www.sedex.com/,GRC
Seldon,www.seldon.io,
SEMA Software,www.sema-soft.de,Construction
Sendcloud,www.sendcloud.com,Supply Chain
SendinBlue,www.sendinblue.com,CXRM
Senef,www.senef.tech,Healthcare
SenseOn,www.senseon.io,
Sensyne Health,www.sensynehealth.com,Healthcare
Seon,,Banking
Septeo,www.septeo.fr,GRC
SER Group (Germany),www.sergroup.com,Productivity
Serrala,www.serrala.com,Supply Chain
Servelec,www.servelec.co.uk,Healthcare
SHD AG,www.shd.de,ERP
Shield Safety Group,www.shieldsafety.co.uk,GRC
ShipNet,www.shipnet.no,Supply Chain
Sidetrade,www.sidetrade.com,Supply Chain
Sievo,sievo.com,Supply Chain
Signicat,www.signicat.com,Banking
Silae,www.silaexpert.fr,HR
Silverfin,www.silverfin.com,Supply Chain
Simployer,www.simployer.no,HR
Simscale,www.simscale.com,
Sinari,www.sinari.fr,Supply Chain
Siteimprove,https://siteimprove.com/en/,CXRM
SlimStock,https://www.slimstock.com/,Supply Chain
Smart Communications (Elstree),www.smartcommunications.com,
Smart Reporting,www.smart-reporting.com,Healthcare
Smartly.io,www.smartly.io,
SmartSearch,www.smartsearch.com,Banking
Smeup,http://www.smeup.com,Industrial
SnapFulfil,www.snapfulfil.com,Supply Chain
Sofico,http://sofico.global,Banking
Softing,https://industrial.softing.com/,Industrial
Softway Medical,www.softwaymedical.fr,Healthcare
Sogelink,www.sogelink.com,Construction
Solactive,https://www.solactive.com/,GRC
Solarisbank,www.solarisbank.com,Banking
Solidatus,www.solidatus.com,
Solitea,www.solitea.com,ERP
Solvares,https://solvares.com/,CXRM
Solver,http://www.solverglobal.com/,Productivity
Solware,www.solware.fr,Healthcare
Sophos,www.sophos.com,Cybersecurity
Sopra Banking,www.soprabanking.com,Banking
Spendesk,www.spendesk.com,Supply Chain
Spiratec,http://www.spiratec.com,Industrial
Sponge,https://www.spongelearning.com/,HR
Spryker,https://spryker.com/,CXRM
Squiz,https://www.squiz.net,CXRM
SteelEye,https://www.steel-eye.com,GRC
STP Group,www.stp-online.de,GRC
Strapi,www.strapi.io,
Strata Decision Technology,http://www.stratadecision.com,Productivity
Stratsys,www.stratsys.com,GRC
StruSoft,www.strusoft.com,Construction
Supermetrics,www.supermetrics.com,IT infrastructure
SuperOffice,www.superoffice.com,CXRM
SupplyOn,www.supplyon.com,Supply Chain
SureCloud,www.surecloud.com,GRC
SwissQuant,www.swissquant.com,Banking
Sympa,www.sympa.com,HR
Syncfusion,https://www.syncfusion.com,Productivity
Syncron,www.syncron.com,Supply Chain
Synertrade,www.synertrade.com,Supply Chain
Sysmex,www.sysmex-europe.com,Healthcare
Sysnet Global Solutions,www.sysnetgs.com,Cybersecurity
System C Healthcare,www.systemc.com,Healthcare
Systematic,https://systematic.com/en-gb/industries/healthcare/,Healthcare
Talentech,www.hr-manager.net,HR
Talentia Software,www.talentia-software.com,HR
Tamr,http://www.tamr.com/,Banking
TeamSystem,www.teamsystem.com,ERP
TeamSystem,www.teamsystem.com,ERP
Tebis,www.tebis.com,Industrial
TechInsights,https://www.techinsights.com/,Industrial
Technord,http://www.technord.com,Industrial
Tekever,http://www.tekever.com,Location
Telindus,www.telindus.com,Cybersecurity
Templafy,https://www.templafy.com/,Productivity
Tenzinger,https://tenzinger.com/,Healthcare
Teranga Software,www.teranga-software.com,Healthcare
Terranova,https://www.terranovasoftware.eu/,Supply Chain
TesiSquare,www.tesisquare.com,Supply Chain
Tessian,www.tessian.com,Cybersecurity
Texthelp,www.texthelp.com,EdTech
Textkernel,www.textkernel.com,HR
The Access Group,www.theaccessgroup.com,ERP
The Phoenix Partnership,www.tpp-uk.com,Healthcare
ThetaRay,www.thetaray.com,Banking
Thinkproject,www.thinkproject.com,Construction
Thomas Murray,https://thomasmurray.com/,GRC
Thought Machine,www.thoughtmachine.net,Banking
Tietoevry,https://www.tietoevry.com/en/care/healthcare/,Healthcare
TIMETOACT GROUP,www.timetoact-group.com,Cybersecurity
Timico (Digital Space),https://www.digitalspace.co.uk/,Cybersecurity
Timocom,www.timocom.co.uk,Supply Chain
Tines,www.tines.com,
Tinubu,www.tinubu.com,Banking
Tookitaki,www.tookitaki.ai,Banking
TopSolid,www.topsolid.com,Industrial
Torq,www.torq.io,
TotalMobile,www.totalmobile.co.uk,CXRM
Transics,http://www.transics.com,Supply Chain
Transporeon,www.transporeon.com,Supply Chain
Treasury Intelligence Solutions (TIS),www.tispayments.com,Supply Chain
Trengo,www.trengo.com,CXRM
Trintech,http://www.trintech.com,Productivity
Trivec,www.trivec.se,
TrueLayer,www.truelayer.com,Banking
Trustarc,https://trustarc.com/,GRC
TrustQuay,www.trustquay.com,Banking
TTS,https://www.tt-s.com/,HR
Tunstall Healthcare,www.tunstall.co.uk,Healthcare
Turtl (Business/Productivity Software),www.turtl.co,CPP
TXT Group,https://www.txtgroup.com/,Industrial
Typeform,http://typeform.com,Productivity
Unifiedpost Group,www.unifiedpost.com,Supply Chain
Unilink Software,www.unilink.com,GRC
Unily,www.unily.com,HR
Unit4,www.unit4.com,ERP
Userlane,www.userlane.com,HR
Vector Solutions,https://www.vectorsolutions.com/,GRC
Vena Solutions,https://www.venasolutions.com/,Productivity
Ventiv,https://www.ventivtech.com/fr,GRC
Vermeg,www.vermeg.com,Banking
Vertex Systems (CAD),www.vertexcad.com,Construction
Vigitrust,www.vigitrust.com,GRC
Vignon Informatique France (VIF),vif.fr,ERP
Virtuoso,www.virtuoso.qa,
Vortal,en.vortal.biz,Supply Chain
Wavestone,www.wavestone.com,Cybersecurity
Wealth Dynamix,www.wealth-dynamix.com,Banking
Wilken Software,www.wilken.de,ERP
WoodWing,www.woodwing.com,CXRM
Workvivo,www.workvivo.com,HR
Xantaro,www.xantaro.net,Cybersecurity
Xceptor,www.xceptor.com,Banking
Xelya,https://www.xelya.com,Healthcare
xSuite,www.xsuite.com,Supply Chain
Y42,www.y42.com,
Yapily,www.yapily.com,Banking
YesWeHack,www.yeswehack.com,
YOOBIC,www.yoobic.com,HR
Yooz,www.getyooz.com,Supply Chain
Yousign,www.yousign.com,CPP
Zafin,www.zafin.com,Banking
Zellis,www.zellis.com,HR
zetVisions,www.zetvisions.de,GRC
Zisson,www.zisson.no,
Zvoove,zvoove.com,HR
